x,greenLed,InfraredLed
1524836549638,10850,3374911
1524836549648,10864,3374871
1524836549664,10838,3374832
1524836549665,10863,3374810
1524836549694,10843,3374821
1524836549695,10853,3374886
1524836549696,10857,3374970
1524836549724,10820,3374977
1524836549725,10852,3375021
1524836549726,10853,3375108
1524836549754,10831,3375147
1524836549756,10816,3375163
1524836549757,10884,3375123
1524836549783,10844,3375104
1524836549785,10842,3375111
1524836549798,10837,3375149
1524836549799,10850,3375129
1524836549829,10863,3375175
1524836549830,10856,3375152
1524836549831,10856,3375205
1524836549843,10849,3375174
1524836549844,10862,3375113
1524836549858,10862,3375075
1524836549873,10883,3375021
1524836549876,10912,3375003
1524836549898,10851,3374961
1524836549903,10829,3374903
1524836549904,10874,3374826
1524836549933,10883,3374791
1524836549934,10845,3374784
1524836549935,10880,3374746
1524836549948,10886,3374679
1524836549963,10868,3374521
1524836549964,10885,3374438
1524836549978,10886,3374353
1524836549993,10870,3374274
1524836549995,10880,3374194
1524836550008,10857,3374171
1524836550023,10861,3374106
1524836550024,10853,3374013
1524836550038,10840,3373911
1524836550053,10832,3373849
1524836550054,10823,3373743
1524836550068,10806,3373717
1524836550084,10796,3373631
1524836550085,10809,3373608
1524836550098,10769,3373558
1524836550128,10783,3373516
1524836550130,10776,3373453
1524836550131,10756,3373386
1524836550143,10763,3373385
1524836550145,10738,3373406
1524836550158,10759,3373447
1524836550173,10717,3373502
1524836550175,10701,3373555
1524836550189,10670,3373714
1524836550203,10715,3373782
1524836550204,10692,3373823
1524836550219,10682,3373705
1524836550249,10661,3373525
1524836550251,10674,3373283
1524836550252,10694,3373061
1524836550263,10710,3372983
1524836550264,10727,3373101
1524836550278,10745,3373331
1524836550293,10757,3373696
1524836550294,10791,3374172
1524836550308,10754,3374455
1524836550323,10774,3374435
1524836550329,10754,3374538
1524836550338,10805,3374583
1524836550353,10764,3374684
1524836550355,10791,3374805
1524836550368,10777,3375046
1524836550383,10806,3375239
1524836550398,10818,3375407
1524836550413,10802,3375627
1524836550415,10796,3375757
1524836550418,10774,3375760
1524836550443,10804,3375738
1524836550445,10819,3375639
1524836550446,10835,3375626
1524836550459,10833,3375577
1524836550473,10837,3375529
1524836550488,10837,3375542
1524836550490,10859,3375512
1524836550503,10841,3375485
1524836550504,10844,3375478
1524836550518,10880,3375455
1524836550533,10855,3375430
1524836550534,10890,3375448
1524836550548,10900,3375470
1524836550563,10909,3375481
1524836550564,10902,3375489
1524836550578,10916,3375493
1524836550593,10934,3375527
1524836550594,10902,3375543
1524836550623,10892,3375514
1524836550624,10872,3375488
1524836550625,10902,3375486
1524836550640,10904,3375483
1524836550653,10925,3375465
1524836550654,10942,3375436
1524836550668,10906,3375440
1524836550698,10924,3375414
1524836550699,10937,3375430
1524836550700,10924,3375395
1524836550714,10908,3375408
1524836550715,10926,3375367
1524836550728,10955,3375391
1524836550748,10938,3375377
1524836550749,10939,3375433
1524836550758,10916,3375397
1524836550773,11004,3375456
1524836550774,10944,3375446
1524836550803,10939,3375496
1524836550805,10961,3375531
1524836550806,10952,3375572
1524836550818,10918,3375542
1524836550833,10963,3375502
1524836550835,10994,3375541
1524836550849,10970,3375543
1524836550863,10978,3375527
1524836550865,10942,3375492
1524836550893,10996,3375509
1524836550902,10956,3375493
1524836550910,10996,3375536
1524836550911,10973,3375568
1524836550923,10971,3375543
1524836550924,11001,3375583
1524836550938,10988,3375526
1524836550953,11009,3375515
1524836550954,11005,3375459
1524836550969,10990,3375465
1524836550983,10982,3375440
1524836550984,10965,3375365
1524836550998,10972,3375319
1524836551013,10995,3375243
1524836551014,10961,3375190
1524836551028,10978,3375100
1524836551043,10946,3375091
1524836551044,10961,3374980
1524836551058,10981,3374909
1524836551077,10957,3374842
1524836551078,10947,3374868
1524836551088,10951,3374827
1524836551103,10944,3374814
1524836551104,10946,3374834
1524836551118,10949,3374785
1524836551133,10929,3374813
1524836551134,10933,3374808
1524836551148,10943,3374845
1524836551163,10931,3374820
1524836551165,10911,3374882
1524836551178,10932,3374858
1524836551193,10928,3374877
1524836551194,10924,3374871
1524836551208,10879,3374879
1524836551223,10884,3374864
1524836551224,10893,3374920
1524836551238,10876,3374916
1524836551253,10877,3374927
1524836551254,10847,3374936
1524836551268,10859,3374918
1524836551283,10861,3374896
1524836551284,10852,3374888
1524836551298,10860,3374927
1524836551313,10845,3374938
1524836551314,10874,3374945
1524836551328,10889,3374974
1524836551358,10881,3374991
1524836551359,10883,3374981
1524836551360,10877,3375032
1524836551373,10874,3374985
1524836551374,10885,3375040
1524836551388,10874,3375046
1524836551409,10874,3375029
1524836551410,10882,3375028
1524836551418,10862,3375081
1524836551448,10881,3375077
1524836551450,10880,3375047
1524836551451,10888,3375037
1524836551463,10901,3375072
1524836551465,10897,3375059
1524836551478,10900,3375063
1524836551493,10882,3375041
1524836551494,10903,3375061
1524836551509,10875,3375074
1524836551523,10887,3375090
1524836551524,10887,3375107
1524836551538,10914,3375114
1524836551553,10869,3375058
1524836551554,10878,3375048
1524836551568,10850,3375060
1524836551583,10882,3375043
1524836551584,10914,3375011
1524836551598,10870,3374998
1524836551613,10866,3374951
1524836551614,10917,3374956
1524836551628,10898,3374900
1524836551643,10871,3374912
1524836551644,10876,3374861
1524836551658,10896,3374893
